"G01 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","-15.0"
"",""
"Statistics: ",""
"Best","-14.991320702923808"
"Mean","-12.692771376448395"
"Median","-13.030645470451008"
"St.d","1.9260112630159327"
"Worst","-7.134718534718435"
"FeasibleRate","100.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","OF","CVS"
"1.0","0.3680484147153478","0.9941553938525022","0.9959785284007218","0.9994613062695104","0.9498637768403833","0.9999999722447038","0.27723278541278795","0.993613031004772","0.860719467078296","2.944387287256785","2.277222614182482","2.8470156734184546","0.9210938311954666","-11.856433794772354","0.0"
"2.0","0.9837531704704018","0.937658497620816","0.8999783174341267","0.9760460930359209","0.9969949308770885","0.9999972674921827","0.9709040440935849","0.9996700985250868","0.9977653846888098","2.949087116677143","2.97089856079332","2.9971055814473","0.985192089949398","-13.928438212504288","0.0"
"3.0","0.9999980906891954","0.999969199511943","0.9999831116756722","0.9999938676905258","0.998030650679136","0.9999007692814391","0.999995629212143","0.9999936041499603","0.9996569616805886","2.998003169438266","2.9974597230353623","2.999635749180544","0.9989230920540063","-14.991320702923808","0.0"
"4.0","0.9999993021653671","0.9999995494571124","0.9999980360306645","0.7792948209895801","0.9166384496614425","0.9999024858230501","0.9999109277524129","0.997943609430722","0.9998804576551811","2.4752280826281425","2.9997125022595754","2.9957663911493375","0.9967085005805579","-13.521703830386882","0.0"
"5.0","0.9998729442292835","0.9988031491759058","0.9984374932689339","0.9927721780751039","0.9249694868677982","0.9486040396271977","0.996985814640771","0.9999656853773797","0.9540505099414518","2.821454061304382","2.8724135024138158","2.938009214213592","0.988221046174859","-14.394382841468015","0.0"
"6.0","0.9992710084872222","0.9986563435099224","0.37605313272434826","0.999979257234977","0.9842476520131634","0.9999987761539715","0.9999971235473452","0.9999928118289232","0.9999445151650039","2.9828098432180257","2.999974962892946","2.99663923293569","0.9941153705453226","-13.7740791503565","0.0"
"7.0","0.9956764449769138","0.9999999989927901","0.9999998141001966","0.9999999487799283","0.9999962277917165","0.9996389837191826","0.9984192022538921","0.9987747779293534","0.9938007172802791","2.9999913445349007","2.99629509438985","2.9913497824712327","0.9496496001403797","-14.906390230400305","0.0"
"8.0","0.9997539633527729","0.37473454264587364","0.9999999994149571","0.9999074476356311","0.9999984742066617","0.9988598011940776","0.9999693200455553","0.99556716254524","0.9999861228331688","2.999791016964968","2.9975762739693046","2.989401801161589","0.9952002310515717","-13.803114775519491","0.0"
"9.0","0.2791188708259958","0.9996028760749509","0.9874824259812379","0.9899965564706541","0.9555316646400356","0.9195309730328447","0.9999999911102133","0.9884910904298871","0.9967879961413083","2.23295096417955","2.8390619370578527","2.9737694768944856","0.9737039291473432","-12.760464262639507","0.0"
"10.0","0.11394339100738578","0.34207054462585834","0.9953585505046237","0.0010354476498240423","0.9375589213605577","0.9938573628884798","0.7476854358514671","0.4959274129701989","0.5939405385942391","0.9113225805723695","2.7353993007683983","1.5835427775057267","0.963439459561415","-8.304309471481366","0.0"
