"G02 CEC2006",""
"Iterations: ","30"
"Total time: ","1 seconds"
"Best known value: ","-0.8036191042"
"",""
"Statistics: ",""
"Best","-0.6688783602446631"
"Mean","-0.45192490416403064"
"Median","-0.4460734939377457"
"St.d","0.0917457208094824"
"Worst","-0.2807873558765507"
"FeasibleRate","100.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","OF","CVS"
"1.0","0.11173873739389945","3.142564467246442","3.1486577312205792","6.149614710034062","3.1020862766798674","0.08873101169808925","3.1137595281239134","3.0198446962285246","3.038942246301083","3.020197338844145","3.055095145312969","0.10386368306226003","2.9732625808546524","0.1636244952782854","0.11201001929953207","0.128398608821247","0.15834080064116632","2.9170516858613857","1.5471401387153896","2.9368857882654353","-0.5419328732716711","0.0"
"2.0","2.99685468033314","3.2566073990044186","2.938102492812009","4.35622002210639","6.052489031379547","0.11626717222876636","3.0538699227827424","0.1401383199723329","6.202394171204693","6.031732371039624","3.102624381881593","2.947859330231156","0.026932425354161092","3.0468745924603278","0.012137833705670915","3.1377924830398287","0.20035416911527815","0.06448530431874017","2.9227863649834314","0.5589401205850336","-0.4216116837192737","0.0"
"3.0","6.224491329544474","0.27983361256775985","0.27679287965687405","3.0552351322037943","3.235341399179278","7.327340424952919","2.938583872397517","3.1457575639993953","0.25420092903435626","0.3246834004853733","3.086378419511756","0.25807085926504997","3.075083132394963","2.5074390723648916","0.2891960719978216","0.2899358839364237","0.259506412377401","0.23863027134030854","2.9114387669789883","0.30357011100356446","-0.5079767767571163","0.0"
"4.0","6.383905893081385","3.06402765769402","6.24655060859734","3.0352859353336714","6.241084203364641","1.265331793681675","3.0803643186836434","3.1212989261734045","2.94205662327124","0.144390392925006","0.04262268255562414","0.10532553536372355","3.071069603167429","0.08571049095007303","0.17008791158266076","3.0404409930149687","2.9739271768317086","5.837153848282724","0.12452808816381145","0.1403417377468654","-0.44250463405659063","0.0"
"5.0","1.5691398340114848","3.1452128167078217","3.1068681818024713","3.142543431445345","9.362629610922534","3.1165273859316813","0.02257163348453432","3.124678353272474","3.109448871589242","0.029642423502436746","3.097432928173533","6.199309378241436","3.10745067555178","3.069027296632976","6.1413181366981755","3.064506757342564","6.141291095804835","3.0576313237701043","3.026532654361391","3.079148663779968","-0.3195793781014446","0.0"
"6.0","3.2109915662507356","3.2040305967670655","3.117295281373863","6.219565389749312","3.001315019028366","3.0086221957044934","3.025531969367763","1.7071162723191664","6.186678675245178","3.017985177396113","3.128701251126466","3.03799262810997","3.1085002837479814","0.17333208898485164","0.05792378944066794","3.03701523882955","2.918152872887809","1.162715780663209","0.034210336989075336","2.9442894627773426","-0.42951309344749017","0.0"
"7.0","9.451872037587755","6.316215983136432","6.2552155947279475","2.9959343906307545","0.06170777023553909","6.264140844028737","4.794831022024523","3.168583538731784","3.0867959258328","2.9697883706189265","3.0635166407505565","3.1421835673376224","6.122369628400961","3.0108918492675962","0.07492265405669855","0.18486363951855037","3.189020980638889","0.1257590578052138","3.0500771000076266","5.948278571470015","-0.344354857904109","0.0"
"8.0","6.3226813771703005","0.2502283444641903","9.486087363283117","2.5632408100184407","3.145878329038917","2.8672327402043747","0.269634215563657","3.301992308397091","3.161863359311484","2.9967317659437285","0.13187940270950205","0.3230356435016046","0.19506363359202947","0.25202307452392464","0.18712437587051875","1.1998415766186918","2.8244907373983104","0.2433522204919391","0.2841875562438278","2.793243221849459","-0.5244624646603502","0.0"
"9.0","9.439542261029326","9.224185260464925","3.191745374581047","3.135074252160162","6.111878255948944","0.09547268128142383","2.991548914201465","4.6467903381773885","0.02321800877296003","2.882259768148721","3.01118235194443","3.0516391261420344","3.0222050808978302","2.996396230429054","0.046384639711093516","3.040467851945085","0.0714956844620273","2.89934420016391","0.07551533452802243","0.03328221403215195","-0.46104667844157254","0.0"
"10.0","9.446714239623502","9.509563820409333","0.07846051965766854","0.04180077093186646","0.017130000369447118","3.1659684646859185","3.038081831461181","3.122095175920118","0.03241309870400585","6.229251462614591","0.03339417393171669","6.142701483999929","0.06189302261871812","6.114356681324213","3.0179620069628985","3.0847593214061937","3.083303605998792","3.064110820630248","1.5118744336137577","3.006462631969396","-0.36185206719008217","0.0"
