"G03 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","-1.0005001"
"",""
"Statistics: ",""
"Best","-1.0002149435656538"
"Mean","-0.8964151280297815"
"Median","-0.9429358584296506"
"St.d","0.11489734311779792"
"Worst","-0.6350814986592431"
"FeasibleRate","100.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","30000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","OF","CVS"
"1.0","0.3154101064564827","0.31933738178784027","0.31499336957765767","0.3158444356611008","0.3179652511847602","0.31954641023818964","0.3120476753400015","0.31392850431957986","0.31838324106439936","0.31489176783955186","-0.9999466285877174","0.0"
"2.0","0.3284619167231748","0.2992295747059403","0.34775033426604735","0.28173283257896825","0.31550304533855916","0.32961799071046477","0.2938945552730009","0.32666399694445797","0.32677754292967487","0.30700149351481953","-0.9644828785230556","0.0"
"3.0","0.3072445975531661","0.3119009940757362","0.31913045625262615","0.3061336745240581","0.3150156776761098","0.32885115400912773","0.32389258262769505","0.323085974462918","0.31092650482940726","0.3154550007675072","-0.9954654218998246","0.0"
"4.0","0.3163900725442894","0.330011596712406","0.2657479301543965","0.32978072851804285","0.32928726251330803","0.2836457141440532","0.2726254238116667","0.3481324114744343","0.3080808833648466","0.3638296897883093","-0.9092264679919442","0.0"
"5.0","0.33564658422004207","0.3144094560465713","0.3129314869007219","0.31260347245174974","0.32455381683777357","0.3214570456080287","0.33610310225820045","0.2895029898414649","0.30004362747909535","0.31215671025372776","-0.9815517900062234","0.0"
"6.0","0.2809750134920346","0.4162196045141123","0.3592222109016191","0.3241244971374258","0.296358381781506","0.32234469605874677","0.27735584143938763","0.2528034001959028","0.29832847739244955","0.30357081434273037","-0.8259960470836785","0.0"
"7.0","0.3020161132286394","0.3319120793878033","0.28528607739433265","0.35359490182337366","0.36450383089967414","0.3375733292455125","0.3157108709046664","0.28264284074854085","0.32122358814339885","0.2504157101310665","-0.8931131718761657","0.0"
"8.0","0.268955771349851","0.38131995811268266","0.23937701880453785","0.27544625958172986","0.27468089458754114","0.36793082255740117","0.25604561603284326","0.3115582183673098","0.38169698611742897","0.3605817227103526","-0.750349086959244","0.0"
"9.0","0.33250094108726397","0.34308938440800185","0.2985366363269438","0.32786684914602676","0.32315838774269107","0.31591536798408487","0.3278599909737192","0.31756502130740105","0.27334822156893573","0.2965093097554368","-0.961960317546057","0.0"
"10.0","0.3048807952648575","0.24687395844454438","0.23950464317050932","0.3081692817177722","0.35715691260082555","0.3238260361671813","0.30305551363502853","0.36486927022669546","0.32859838765621324","0.35846262261726003","-0.836851194719133","0.0"
"11.0","0.3434745702209782","0.32936662924542376","0.3165945421737788","0.3207015755058728","0.29688299604543794","0.29359432330886825","0.2941360240476045","0.33196932331712165","0.27706211098031347","0.35032507377523714","-0.9488688973882213","0.0"
"12.0","0.33260547372511406","0.26316302594734364","0.3380717912511028","0.3327295874715643","0.2899684605163293","0.34387418828251753","0.2992277703712438","0.35185004535095804","0.29481604901533587","0.30435278167166147","-0.9274550406393773","0.0"
"13.0","0.31261720324009407","0.3265270544411027","0.31498280166947545","0.32378791333742685","0.31058146516114493","0.3241299189805031","0.3041267964419579","0.3144511518179107","0.31348902959385017","0.3170551101344646","-0.9961830676029353","0.0"
"14.0","0.3011707997664784","0.321813624876501","0.288481186396038","0.4723779873978924","0.34607845373571716","0.2888735549688491","0.3067494838810487","0.21927111896713392","0.25737934634866655","0.29634334553286307","-0.6773933529316403","0.0"
"15.0","0.315340988639992","0.30987158443537094","0.31603371159902566","0.3216909629321551","0.31462354052667846","0.31694662562627296","0.3220816882119761","0.3197835571929131","0.3131810737312985","0.31265575146666136","-0.9990699361038755","0.0"
"16.0","0.3129194848852812","0.32278168385935296","0.31674689982265314","0.31702225530772243","0.31302696951288367","0.3207135199714176","0.31572987375692596","0.29906512527562756","0.32310328253852816","0.32060061996067674","-0.995932293105465","0.0"
"17.0","0.31545018295828775","0.32573492494141987","0.3186018576024808","0.3047956693564295","0.32467987185715713","0.3029580208264087","0.3258492129215056","0.31132043109207796","0.3373901987185534","0.2931646152488726","-0.9848233508285187","0.0"
"18.0","0.3268729113909927","0.31378462263157697","0.3227300550926916","0.31340402984323484","0.316536551179039","0.3223015480022995","0.3125169982747913","0.3111488227933147","0.3033695500218244","0.3191058871546673","-0.9962984266265196","0.0"
"19.0","0.2874190313084652","0.2845118249507798","0.3454056905517595","0.3838698134606796","0.23717967483113206","0.29551883573427273","0.3638876032632402","0.25380840777139935","0.4165127529000163","0.23656468579295947","-0.6915815703797237","0.0"
"20.0","0.31373719959953084","0.2612866760762627","0.2855080446683111","0.281557808309425","0.2877807881484162","0.44179125018535814","0.3781316223692063","0.3198918377378274","0.26310189754890745","0.28293252594534174","-0.7543990408318108","0.0"
"21.0","0.33502435998861313","0.2915407843741554","0.3165962634346494","0.3268626280216883","0.30018109903306844","0.32090338842435584","0.3161193861948647","0.3058053871370838","0.3202654621086522","0.3266171823944479","-0.9845772562374849","0.0"
"22.0","0.297697713213277","0.35965873021554723","0.25901706797007856","0.2991092124600269","0.33071454896248204","0.37155789548094087","0.29408203325774107","0.27364108611988097","0.31817228016645105","0.33987667795401477","-0.8870285041458407","0.0"
"23.0","0.33654887008847484","0.3119962210322302","0.31214051182291264","0.296365701983071","0.3094386989780785","0.2996666677088785","0.34969027577835426","0.3160020313289996","0.3111695714752671","0.31576756840132536","-0.9779726064079508","0.0"
"24.0","0.33430542530912577","0.3045957506503968","0.3480361155924344","0.32861824976748616","0.3011507942609068","0.309552152526034","0.3040156991926454","0.28547638783274065","0.314151283499517","0.32757563181460925","-0.969656084345606","0.0"
