"G11-CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","0.7499"
"",""
"Statistics: ",""
"Best","0.7499"
"Mean","0.7499000000000001"
"Median","0.7499"
"St.d","1.1102230246251565E-16"
"Worst","0.7499"
"FeasibleRate","100.0"
"SuccessRate","100.0"
"SuccessPerformance","6428.4"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","OF","CVS"
"1.0","0.7070360622695949","0.49999999334969447","0.7499","0.0"
"2.0","0.7070360684555318","0.5000000020970554","0.7499","0.0"
"3.0","0.7070360635048907","0.4999999950964917","0.7499","0.0"
"4.0","0.7070360674728277","0.5000000007074409","0.7499","0.0"
"5.0","-0.7070360671338354","0.5000000002280813","0.7499","0.0"
"6.0","0.707036060664164","0.49999999107949944","0.7499","0.0"
"7.0","-0.7070360609127904","0.499999991431075","0.7499","0.0"
"8.0","-0.7070360682228916","0.5000000017680853","0.7499","0.0"
"9.0","-0.7070360665005816","0.49999999933261485","0.7499","0.0"
"10.0","0.707036069740169","0.5000000039136251","0.7499","0.0"
"11.0","-0.7070360646624128","0.49999999673331147","0.7499","0.0"
"12.0","0.7070360721198673","0.5000000072786902","0.7499","0.0"
"13.0","-0.7070360589927215","0.49999998871595913","0.7499","0.0"
"14.0","-0.7070360668654718","0.4999999998485959","0.7499","0.0"
"15.0","0.707036068116275","0.5000000016173217","0.7499","0.0"
"16.0","-0.7070360685977414","0.50000000229815","0.7499","0.0"
"17.0","-0.7070360655866588","0.49999999804026196","0.7499","0.0"
"18.0","-0.7070360683599104","0.5000000019618398","0.7499","0.0"
"19.0","-0.7070360661819599","0.4999999988820607","0.7499","0.0"
"20.0","-0.7070360642646056","0.49999999617078345","0.7499","0.0"
"21.0","-0.7070360668299003","0.49999999979829507","0.7499","0.0"
"22.0","0.7070360723227443","0.500000007565573","0.7499","0.0"
"23.0","-0.7070360655692801","0.49999999801568723","0.7499","0.0"
"24.0","-0.7070360651035946","0.49999999735717443","0.7499","0.0"
"25.0","-0.7070360622952915","0.4999999933860313","0.7499","0.0"
"26.0","0.7070360722470529","0.5000000074585398","0.7499","0.0"
"27.0","-0.7070360687533258","0.5000000025181576","0.7499","0.0"
"28.0","0.7070360641723529","0.49999999604033146","0.7499","0.0"
"29.0","-0.7070360675763898","0.5000000008538852","0.7499","0.0"
"30.0","-0.7070360690336046","0.5000000029144921","0.7499","0.0"
