"G12 CEC2006",""
"Iterations: ","30"
"Total time: ","1 seconds"
"Best known value: ","-1.0"
"",""
"Statistics: ",""
"Best","-1.0"
"Mean","-0.9950999469127626"
"Median","-0.994375"
"St.d","0.005124685945441637"
"Worst","-0.9780352540361084"
"FeasibleRate","100.0"
"SuccessRate","36.0"
"SuccessPerformance","9695.454545454546"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","OF","CVS"
"1.0","5.000000001622204","4.999999952693853","5.000000079042616","-1.0","0.0"
"2.0","4.999999971321941","5.000000069454829","4.99999997482389","-1.0","0.0"
"3.0","4.17676675789333","4.176786630324889","5.000025342670003","-0.9864460677643645","0.0"
"4.0","5.750000000001321","5.000000151695542","4.999999203062271","-0.9943749999999736","0.0"
"5.0","4.249999999999996","4.999999960738898","5.000000024875638","-0.994375","0.0"
"6.0","5.000000070238643","4.249999999999987","4.999999960531814","-0.9943749999999999","0.0"
"7.0","5.7500000000000036","5.0000000123622135","5.0000000077113","-0.994375","0.0"
"8.0","4.999999988153772","5.000000046212664","4.9999999700203945","-1.0","0.0"
"9.0","4.999997620362099","4.999996918176843","5.75000000003033","-0.9943749999993936","0.0"
"10.0","5.000000036250038","5.000000057271616","4.999999932235955","-1.0","0.0"
"11.0","4.999999932778272","4.999999966172765","5.000000073680432","-1.0","0.0"
"12.0","4.999999939263856","5.000000072418955","5.000000007309741","-1.0","0.0"
"13.0","5.855660772286999","5.85566649743117","5.8556600284764215","-0.9780352540361084","0.0"
"14.0","5.000483951216039","4.999901218615473","4.249999512066441","-0.9943749902413289","0.0"
"15.0","5.8237882440450175","5.000136747054367","4.177339782235979","-0.9864460307638194","0.0"
"16.0","4.999999989346753","5.000000040757983","4.249999999999996","-0.994375","0.0"
"17.0","5.823223303407706","5.823223305999023","4.999999981212988","-0.9864460678118655","0.0"
"18.0","4.9999999668152215","5.000000018475758","4.999999996542171","-1.0","0.0"
"19.0","5.000000082343671","5.000000035498114","4.999999982872526","-1.0","0.0"
"20.0","4.999999959012863","4.999999978840302","4.249999999999996","-0.994375","0.0"
"21.0","4.2499999999999964","4.999999988514925","5.00000003059254","-0.994375","0.0"
"22.0","4.999999996039631","4.999999932971129","5.750000000000012","-0.9943749999999999","0.0"
"23.0","4.999999996030216","4.99999997531165","5.7500000000000036","-0.994375","0.0"
"24.0","5.000000068823983","4.999999989462627","5.000000081072256","-1.0","0.0"
"25.0","5.000000043869358","5.0000002743929475","4.2499999999998455","-0.994374999999997","0.0"
"26.0","4.249999999999996","4.999999964642525","5.000000030893348","-0.994375","0.0"
"27.0","5.000298688625931","5.000405708784352","5.000263787899117","-0.9999999967660144","0.0"
"28.0","5.000000011159271","4.999999989266527","4.249999999999996","-0.994375","0.0"
"29.0","5.000000073233476","4.999999999669336","5.000000064118976","-1.0","0.0"
"30.0","4.999999962374585","5.7500000000000036","5.00000000171746","-0.994375","0.0"
