"G15 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","961.7150222899"
"",""
"Statistics: ",""
"Best","961.7150222899609"
"Mean","963.9764198332791"
"Median","963.7916025808399"
"St.d","1.9163178900060536"
"Worst","967.7425362327709"
"FeasibleRate","100.0"
"SuccessRate","13.0"
"SuccessPerformance","73136.25"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","OF","CVS"
"1.0","4.677852491861499","0.4768779881764352","1.70011277530287","964.5888457167217","0.0"
"2.0","2.3163403496620454","0.4735136440634473","4.405729475657598","963.4736971156001","0.0"
"3.0","1.502041782205893","0.7901082042557832","4.703157446755437","966.1245240380968","0.0"
"4.0","1.4399808175084827","0.8182961937428496","4.717705648359274","966.3587548809398","0.0"
"5.0","3.8146575439879045","0.20731186447317135","3.225756540018923","961.8609458600963","0.0"
"6.0","3.512128339101755","0.2169874934986198","3.5521783397435898","961.715022289961","0.0"
"7.0","4.707576481842664","0.5064885651322943","1.6069407467389838","964.7942736462501","0.0"
"8.0","4.773978303074032","0.5898595314382843","1.3642915569174106","965.3228962791065","0.0"
"9.0","3.019924361496102","0.2870143163440222","3.97464135128221","962.0476507729747","0.0"
"10.0","3.4004864916651787","0.22759665186715305","3.658550447622504","961.7333090538832","0.0"
"11.0","1.0890532987639148","0.9882659116040227","4.778848471385149","967.7425362327709","0.0"
"12.0","1.622227898841584","0.7371527741221565","4.671732257003483","965.6820617391826","0.0"
"13.0","3.180513009597901","0.2578647172266041","3.849407951364147","961.8701728385535","0.0"
"14.0","4.413413639802936","0.31362278555867323","2.328844261126836","963.2392458416032","0.0"
"15.0","1.7398309814459216","0.6873717888269081","4.636872996505064","965.2641509878105","0.0"
"16.0","4.879516237263838","1.025622595805313","0.37215908667741004","967.1275170706048","0.0"
"17.0","1.9173620316272022","0.616118854235536","4.5764835129353285","964.6642179862655","0.0"
"18.0","3.5121281695286837","0.21698750697866262","3.552178506581317","961.7150222899609","0.0"
"19.0","4.8813404091407975","0.9648787013455851","0.49155355829547065","966.9595674506335","0.0"
"20.0","3.5124326572602977","0.2169633017292555","3.5518789047354753","961.7150224796643","0.0"
"21.0","4.828075044450194","0.6903768411285724","1.101432125681311","965.8723101150641","0.0"
"22.0","4.475706416422545","0.34111103642183965","2.2026720475044885","963.4983481760827","0.0"
"23.0","4.674812930651385","0.4740708070624105","1.7092162361142336","964.5687591606348","0.0"
"24.0","4.842249653377287","0.7270006416921527","1.0120115926228164","966.0506595758924","0.0"
"25.0","4.427797118525634","0.3195554331721886","2.30056031322892","963.2964626205138","0.0"
"26.0","4.121132119407114","0.2342689962561521","2.821610903626566","962.3513332292557","0.0"
"27.0","3.5119551934567586","0.2170012618232506","3.552348683831475","961.7150223347691","0.0"
"28.0","4.5946353901791195","0.4099441036005089","1.9290856476282472","964.0848569855971","0.0"
"29.0","3.6480974837813847","0.2089355593938283","3.412888041682635","961.7435062620222","0.0"
"30.0","2.9723666366613433","0.29669622441389537","4.009626740910664","962.1119019678546","0.0"
