"G18 CEC2006",""
"Iterations: ","30"
"Total time: ","0 seconds"
"Best known value: ","-0.8660254038"
"",""
"Statistics: ",""
"Best","-0.766170822896646"
"Mean","-0.21587913631756883"
"Median","-0.25566598893958875"
"St.d","0.28383177986740443"
"Worst","0.4466183848223869"
"FeasibleRate","23.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","x9","OF","CVS"
"1.0","0.28697061843852245","0.07891267800959614","0.657629286431879","0.02386736871791494","0.03765063028696757","-0.6411675045461532","0.2760680474795563","0.9336939490143463","1.036854143798346","-0.4049707054424482","0.11410871526595001"
"2.0","0.012602253430650537","0.11200249688002394","0.08688866788239226","0.9960734133860771","0.5272006099398241","0.09821585365201985","-0.3684113119128377","1.0365513441734207","1.006035370840167","-0.07125298315063332","0.5425124323994688"
"3.0","-0.2509977185412773","0.1441786133740729","-0.4388425891214202","-0.29596279667670006","-0.611661228220037","0.6814899467233325","-0.49047328657399697","0.5362701759443502","1.7550445208747077E-41","-0.07189732109429822","7.701882815640192E-42"
"4.0","-0.8631354681507599","0.4411819075433679","0.4246550388058143","-0.22550512929590852","-0.3999805482503953","0.41351109216693016","-0.28958293482135766","-0.4422555290675119","0.6045559974505162","-0.40123455488850246","0.3774624440154989"
"5.0","-0.07485083390523563","0.009705381582446219","2.89931049980328E-4","-0.6680997116281777","-0.7500955937202562","-0.5378140577417072","0.29885952678506644","-0.018751198445339238","0.9355458445458","-0.4634105561438622","0.0"
"6.0","0.12880012744487776","0.31934455587659477","0.5568346010777424","0.24581770987406537","-0.22661511473187024","-0.10544887492744182","0.643154913934143","0.05747149265601109","0.7910745675176395","-0.2642012261321796","0.07031959300803195"
"7.0","0.1831589830245667","0.6118925650088596","-0.42628603354405653","0.4316257803454746","-0.23844110038821487","0.843215492662775","-0.42310758403852666","1.4962641476593834","1.0000000000462088","-0.07602623019426538","1.0047796080303768"
"8.0","0.04577623831956878","0.025420490816385703","0.8901999291294788","0.019000839304773753","-0.0414939276803108","-0.03397175708191715","0.5776026828566302","0.4646926248400872","0.9977050443167829","-0.454068192193185","0.0"
"9.0","-0.897737921650584","0.3731812512296815","0.2802193891118193","-0.9440688727066265","-0.6394369740735789","-0.5513448301007873","-0.13151914252916866","-0.17760244349871046","0.8137111866480901","-0.766170822896646","0.0"
"10.0","0.4400203964755373","0.07613584723599862","0.8204268444461597","0.4749068119069026","0.851521702688146","-0.5246096080710819","0.17649149246178275","1.036627965997655","0.8398231519165656","-0.5478454761293443","0.7154320913063329"
"11.0","1.0049513980020053","1.4210279408523232","0.4947075651832618","1.43624015685453","0.8355024529135777","0.8049845788190105","0.20381805233629063","0.5383713830987965","1.5605779858114817","-0.2471307517469979","5.505572025230062"
"12.0","0.8125971716286536","0.7863268664808416","-5.261802128316711E-4","0.7457922408977147","-0.26723421535065883","0.6019872819107535","0.25526101554166086","0.4022852661127545","1.3691527868364195","-0.35521909621709225","1.3487664460630397"
"13.0","-0.24738915284937138","0.06398989231592836","0.9534459785865925","-0.3018460002689018","0.9560791684678429","0.10327735485063708","0.6792905241392614","0.15703577076269495","0.9758622774705626","-0.04553809537322641","1.5149638061437622"
"14.0","-1.0017496315436163","0.35891716188877126","-0.9214139429884428","-0.12816165378264782","-0.5589187875482341","0.803811571620232","-0.5853323446217796","-0.5337293732683125","0.07847627968424914","-0.5997290908155114","0.15489419064785193"
"15.0","0.13237724449874683","-0.0840023366001266","-0.12895874831364734","0.2721813563242469","-0.7851177488633315","-0.48175315325737694","-0.2521414616297101","-0.15044195251960812","0.8039236923376011","-0.27467212557148785","0.10703106520977043"
"16.0","0.184660683794923","0.3187775459386561","0.2706346091414958","-0.6369368987061006","0.3362072618324776","0.20687721862335448","-0.1905031956160236","0.25041114666700826","2.1468385500808793","0.11053126061219726","9.558604393244567"
"17.0","0.04047475979085201","-0.1538954579746263","0.6169537407603235","0.456822101401108","-0.3506860672314886","0.4246257444151892","0.3051012316901333","0.5997429773448691","0.59442162402085","-0.17437341286767866","0.3450693908670478"
"18.0","0.046269797877397226","-0.06019113637759298","0.5979815186323063","0.4908636205628534","-0.23636629958856473","-0.06037472918258339","-0.1642223065713776","-0.047685511376760525","0.9387378429819934","-0.421647794702304","0.0"
"19.0","-0.9952401827312427","0.10577634863441103","-0.38131178882985245","-0.11868811429910558","-0.646811340977494","0.7634777779147878","-0.34077374862879045","-0.6503093579212222","0.1546095547707533","-0.4401531845240837","0.06021767408662912"
"20.0","0.3173728963335077","0.2981811697700297","0.24608100970829508","0.34368599142354644","0.9659528905579021","-0.2587180185632816","0.07938946607034848","-0.02126344416636072","8.657695044937288E-8","-0.017849916435413567","8.362925554226E-8"
"21.0","1.1947436942823977","0.8169679113569244","0.250722784074176","-0.31719279250917864","0.5045154441726807","0.10970475469089644","0.5924918287844626","0.09834822307289122","1.0000000000471312","0.42648509567662574","2.191232809100742"
"22.0","-0.34696893941361634","0.33829625233999594","0.242828100138659","-0.3298403483304233","-0.4282699742935553","-0.6502368025014115","0.17592088866898442","0.18639982311454814","0.9999999999855024","-0.36897769135324826","0.0"
"23.0","0.04340766941684905","-0.03682769711178942","-0.32470884402219335","0.2824965675167135","-0.0996881204936281","0.6344524834461454","-0.045907282244033384","-0.0292972636146663","5.667197156049112E-61","-0.016175408515167012","1.840189037386569E-61"
"24.0","0.1664551256340836","0.300320706530124","0.20603717371179717","0.8494655506989901","-0.7530547717709754","0.6579578295338441","-0.3715815240315616","0.21411611766105365","0.997020854171745","-0.5594995725131282","0.0"
"25.0","0.7405275978397232","0.163660077016159","-0.24574481505666035","0.048675513194944384","-0.1201823185082572","0.22021364564767776","0.11375856356073831","-0.3030005662142462","5.992730009930699E-6","-0.04381377315390554","1.4726823279749178E-6"
"26.0","-0.08425321619764344","0.2444678890336767","3.030884264832123E-7","-0.7093444740076856","-0.739712508798655","-0.10214723250194346","0.2961529413573063","-0.20065506335890335","0.7544642060054894","-0.39826479110079344","0.0"
"27.0","-0.014135565250421317","0.028285460975292723","0.6350673592365371","0.601975693705854","-0.31931309273530933","0.9430623378561781","0.08595318795906866","0.9983640918976693","0.0020649152877872173","0.2121758325804331","0.4363414201664413"
"28.0","-0.3872865769389536","0.0754548560573627","2.3633770966408304E-6","0.5787962795578938","0.050768104223855026","0.9635052642975919","-0.5530710514258909","0.16615136297535746","0.997417567841949","-0.13326360467179657","0.2804965987947998"
"29.0","0.7847645630223268","0.14353131632162902","0.5403734491760601","0.19139882572165742","0.46427206654992437","-0.09100229264346937","0.983182616685087","-0.11311859698504653","4.839167277633405E-77","-0.05479828539150841","2.2466901923676326E-77"
"30.0","-0.10211785594899735","1.1297556439259464","-0.6417243613052246","0.9045951837700554","-0.08798751915617495","0.32441143950219453","-0.4632932173322701","1.7077748128159311","2.755619280402338","0.4466183848223869","11.927090633682532"
