"G22 CEC2006",""
"Iterations: ","30"
"Total time: ","1 seconds"
"Best known value: ","236.430975504"
"",""
"Statistics: ",""
"Best","1575.7373655825977"
"Mean","12403.778033660512"
"Median","13667.833808142672"
"St.d","5536.547324128423"
"Worst","19775.64808411763"
"FeasibleRate","0.0"
"SuccessRate","0.0"
"SuccessPerformance","0.0"
"",""
"TS-MBFOA Parameters",""
"Bacteria","14"
"Stepsize","5.0E-4"
"Chemotoxic cycles","7"
"Scaling factor","1.95"
"Bacteria to reproduce","1"
"Reproduction frequency","100"
"Evaluations","20000"
"",""
"Explore test results",""
"#","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","OF","CVS"
"1.0","5660.839970137622","4938.327332386906","69887.16336629618","23926.449776737267","4406578.65640043","4283248.440912603","2.7404743624705724E7","146.2689552203945","198.19929267047604","285.9737032066938","397.0874906897776","385.9525653179624","8.092749503511119","0.7924935505867609","28.634319157655593","17.957103893000493","79.62663154042261","5.049520830963133","-1.7049730375891838","2.917637563754862","2.4401314795257227","-2.7663179268157525","5660.839970137622","4454888.920285192"
"2.0","11713.941467391194","1379.384972071401","50416.791463780886","3745.338895271317","1.9998998805391982E7","4030885.649289403","3299076.6448188834","299.98999988676474","394.7695944467111","130.01001525603377","398.6911823584124","598.511170128064","121.44492691935552","0.9993907361292191","4.084847273814476","292.2010895378269","261.22441970128403","-0.7435610702790871","4.653711593512271","5.687049171088751","5.623721075368188","4.466898416641658","11713.941467391194","1.841242383322257E7"
"3.0","16408.94569281763","331.3902259519767","2056.8690529267005","158851.620885832","4834023.768895895","1.0341169172115024E7","2.266777008299448E7","149.63448137538072","262.9784314339563","281.6597623119718","336.58866469500185","436.7370415382617","121.2060378622889","62.84533012730759","3.56744393864045","29.798595842656628","106.09114782949892","-3.4318430148094166","0.7932651339140737","2.9968445590430526","5.008421564438882","1.638193710187474","16408.94569281763","2513636.355092125"
"4.0","6152.218986823557","115922.05429735321","20250.633180008284","465044.1224030502","6508067.056737514","1.0216114571585892E7","1.3895970105839593E7","197.53708782705658","310.4678834779274","264.9193034209292","336.62441717612086","521.0402931662192","0.47095658204845553","6.345443453160303","0.7489756437621057","297.3143485592208","91.80299449636424","-1.430623643955977","1.8385177399179053","3.033938626026526","3.851956381213267","-3.312187993229447","6152.218986823557","9645195.316387087"
"5.0","11642.44888989262","109830.98798555885","12245.642765254934","36094.9127895272","1.0141459142545465E7","1.110764916037678E7","1.8921946684831247E7","199.8834927355784","310.90313282189436","228.6463878301106","328.97208445771145","470.7805320504367","0.8044009020857297","11.570710408321386","13.2192920598454","266.5626065982766","91.98661034404486","-2.4311095193677525","3.316962294361295","-1.4397298061423536","-4.6801153215725035","-0.6864933814318853","11642.44888989262","1034364.6219612843"
"6.0","2966.4588601550904","14719.266593091255","160.13675721892028","4489.956244084879","5331260.714836231","4953544.586431894","3.0306308064695712E7","153.31296921179856","195.74282270294694","275.656298055929","387.41284086127234","356.9368497637307","2.870733235783324","386.4942549494088","168.59521083789082","28.742239657069028","35.51984020263184","-0.9867581440816335","3.841322739930536","0.3582690613464478","0.2827164144711703","-0.7891862699951149","2966.4588601550904","1529400.8403912606"
"7.0","18361.705629007458","2586.034517387502","7628.424733235663","60105.696935485954","7375344.614223531","2.8161570984526865E7","1.0088670161249023E7","164.99936984441732","399.11330323715987","254.57369934454093","158.17372320129468","559.0167803025474","23.766583432811338","46.14578364707032","4.4462685364936805","283.352169195184","372.0678323830643","-3.510859234630097","-0.7933795249143765","3.4017176322538303","2.348429311385119","-4.192309726088236","18361.705629007458","6425523.230425115"
"8.0","12367.495026050181","147525.72968518164","66266.95691462334","448517.97423784895","1.2208099856357796E7","1.331221578493454E7","1.3600143273416977E7","221.62844213608045","354.75058432191946","207.67431766633356","312.48743568142913","525.0275930200343","0.6893794068663672","2.5110961444500486","0.7583286195065114","39.83763146326533","57.42874052288098","3.9080701273705323","1.8617453901255194","2.437543110986134","-1.7933163966010377","2.9775089405693937","12367.495026050181","1667468.7069393727"
"9.0","14597.366322125996","94.38271930747429","34201.49704161691","17365.810655728306","1890299.8551950594","1079346.8301693678","3.716177441257708E7","118.90299855094632","128.6226933134718","295.8120111580845","400.0","288.38224565242507","161.33376787259135","0.09057294720074974","50.03587931268062","103.0478803505543","97.55400078209537","1.5225257823780598","1.4313166697832134","2.84375837224573","-2.6532588806583415","5.799502025840938","14597.366322125996","7880646.637636097"
"10.0","17425.589029122893","11367.606305036992","8739.061942974346","140566.50303175597","1.997348253260456E7","1682128.7506925","1.6187168383158255E7","299.7348259360206","338.1283161669751","130.2651746743492","399.999999996169","499.542626188791","14.64208623606548","3.952093765650041","2.928926068052733","17.021306795600996","370.0528088670882","-1.2340303643406665","2.2284620082066744","-0.5129356036178819","0.9070608607023061","-4.358323052396391","17425.589029122893","5979143.83397033"
